id_equipamento,chuva_acumulada_mm,umidade_solo_pct,inclinacao_graus,peso_maquina_ton,distancia_corpo_agua_m,ocorreu_acidente
TRATOR-II,75.15,67.68,13.68,20.16,381.98,0
TRATOR-I,58.67,46.72,34.18,20.54,956.81,0
COLHEITADEIRA-II,48.21,40.11,33.41,24.34,329.97,0
COLHEITADEIRA-I,119.26,98.78,28.0,17.97,962.19,1
TRATOR-II,105.64,85.17,8.46,16.0,901.49,0
TRATOR-I,74.81,55.74,2.38,24.31,270.38,0
PULVERIZADOR-I,68.33,68.49,11.09,19.63,803.54,0
TRATOR-II,74.48,55.03,9.34,14.47,995.6,0
TRATOR-II,24.16,48.12,17.71,11.9,252.66,0
TRATOR-I,47.42,47.64,27.22,22.64,436.78,0
TRATOR-II,4.74,14.05,30.04,15.43,520.18,0
PULVERIZADOR-I,57.07,61.89,29.57,19.91,294.93,1
TRATOR-II,65.16,61.03,12.59,17.06,15.26,0
PULVERIZADOR-I,27.33,55.61,24.05,12.98,220.13,0
TRATOR-I,115.68,95.74,10.95,19.03,281.94,0
COLHEITADEIRA-I,109.13,83.74,2.13,10.91,443.6,0
TRATOR-II,86.66,83.28,24.55,16.2,171.1,1
COLHEITADEIRA-I,64.01,56.55,0.34,18.2,873.25,0
PULVERIZADOR-I,104.4,99.77,14.32,16.54,704.91,0
TRATOR-II,15.68,30.65,11.53,21.23,85.2,0
COLHEITADEIRA-II,94.86,83.41,24.27,22.42,650.09,1
COLHEITADEIRA-I,14.98,20.5,26.82,21.57,653.66,0
TRATOR-II,95.31,79.97,10.64,10.58,956.22,0
COLHEITADEIRA-I,33.09,54.83,28.41,12.91,3.02,1
TRATOR-II,105.25,97.32,10.29,18.05,247.93,1
TRATOR-I,113.29,84.7,15.62,24.02,927.79,0
COLHEITADEIRA-I,17.86,27.5,25.45,22.52,932.13,0
COLHEITADEIRA-II,55.52,67.83,24.25,22.64,720.59,0
COLHEITADEIRA-II,117.72,100.0,34.56,14.55,765.76,1
PULVERIZADOR-I,58.01,47.67,7.88,16.44,91.48,0
TRATOR-II,103.63,85.68,23.18,17.06,513.88,1
COLHEITADEIRA-I,70.65,62.51,21.34,12.36,231.58,0
PULVERIZADOR-I,45.04,63.14,32.03,10.47,181.22,1
COLHEITADEIRA-I,34.29,33.08,5.47,24.2,810.3,0
TRATOR-II,24.39,30.97,26.31,13.61,135.04,0
COLHEITADEIRA-II,91.42,87.42,19.89,13.6,468.65,1
TRATOR-I,46.38,39.37,9.61,11.25,938.58,0
COLHEITADEIRA-II,61.35,61.59,16.61,23.93,185.83,1
PULVERIZADOR-I,59.08,58.71,11.68,18.7,977.99,0
TRATOR-I,69.27,61.6,20.28,20.01,994.29,0
PULVERIZADOR-I,103.87,84.16,31.12,23.67,555.62,1
TRATOR-II,117.69,96.51,19.93,15.18,170.14,1
TRATOR-I,48.91,44.19,22.11,19.32,316.1,0
PULVERIZADOR-I,99.3,86.74,18.16,10.58,424.49,0
TRATOR-II,91.74,89.21,1.79,12.8,309.32,0
COLHEITADEIRA-II,68.82,74.1,8.15,22.47,280.64,0
TRATOR-II,114.73,83.45,17.22,21.5,972.23,0
COLHEITADEIRA-I,24.06,28.91,10.86,15.26,153.36,0
TRATOR-II,13.11,25.91,6.36,15.65,733.33,0
TRATOR-II,102.48,82.32,17.64,18.0,0.41,1
COLHEITADEIRA-I,52.7,53.87,11.3,10.0,596.18,0
PULVERIZADOR-I,101.64,91.37,9.03,13.62,915.94,0
PULVERIZADOR-I,107.17,76.0,16.24,13.12,287.93,0
TRATOR-II,7.49,15.54,4.66,13.76,185.53,0
COLHEITADEIRA-I,106.02,85.37,32.47,22.09,651.68,1
COLHEITADEIRA-I,53.8,63.19,30.37,14.2,712.6,0
COLHEITADEIRA-II,61.25,52.55,24.77,12.87,688.03,1
PULVERIZADOR-I,75.19,74.36,3.72,17.56,319.32,0
TRATOR-I,111.17,84.49,27.16,22.98,252.2,1
PULVERIZADOR-I,2.29,37.96,28.28,13.62,955.92,0
PULVERIZADOR-I,57.22,71.2,26.87,11.18,923.3,0
COLHEITADEIRA-II,82.53,68.43,3.99,15.35,457.32,0
TRATOR-I,86.72,68.93,22.54,21.21,846.19,1
COLHEITADEIRA-II,83.1,72.2,29.2,18.26,452.32,1
TRATOR-I,16.13,26.9,20.21,22.25,424.39,0
TRATOR-II,35.93,51.73,22.62,24.39,156.76,1
TRATOR-I,43.05,60.61,16.04,21.89,426.41,0
COLHEITADEIRA-II,96.53,88.11,18.5,19.06,537.42,1
PULVERIZADOR-I,33.45,54.8,1.2,17.4,22.5,0
TRATOR-I,25.28,37.08,22.36,10.6,444.11,0
TRATOR-I,114.89,83.63,2.85,24.76,781.36,0
COLHEITADEIRA-I,1.06,32.78,15.23,15.75,680.05,0
PULVERIZADOR-I,119.74,92.66,10.24,12.28,635.16,0
TRATOR-II,81.22,78.87,19.09,20.0,909.56,0
COLHEITADEIRA-II,99.42,77.77,4.67,14.26,18.03,0
TRATOR-II,35.35,33.65,24.21,18.79,557.05,0
PULVERIZADOR-I,1.72,40.81,27.83,18.8,787.35,0
TRATOR-I,88.54,67.81,5.72,16.69,541.34,0
TRATOR-I,100.1,99.71,3.65,22.54,323.9,0
PULVERIZADOR-I,88.86,92.63,5.09,13.97,136.25,0
TRATOR-I,17.14,44.1,30.7,16.73,887.56,1
TRATOR-I,90.41,84.03,18.49,18.07,470.76,1
TRATOR-I,92.27,82.7,16.35,19.95,878.12,0
COLHEITADEIRA-II,79.02,83.4,3.73,21.76,585.85,0
COLHEITADEIRA-II,91.93,73.84,22.73,15.92,674.19,0
COLHEITADEIRA-I,101.51,84.94,30.38,19.69,804.26,1
TRATOR-II,73.63,72.76,28.99,12.26,659.16,1
PULVERIZADOR-I,10.63,28.72,21.91,23.99,398.05,0
PULVERIZADOR-I,58.52,57.93,2.63,15.75,513.63,0
PULVERIZADOR-I,9.32,25.5,3.93,20.94,803.05,0
COLHEITADEIRA-I,48.91,56.27,1.73,10.31,373.65,0
COLHEITADEIRA-II,48.85,64.83,9.01,13.08,388.12,0
COLHEITADEIRA-I,7.92,20.8,4.75,17.31,95.69,0
PULVERIZADOR-I,41.86,63.15,9.1,23.17,914.58,0
TRATOR-II,13.32,38.66,13.48,17.91,91.04,0
TRATOR-I,96.99,92.89,33.0,23.95,648.21,1
COLHEITADEIRA-II,113.72,94.92,21.36,17.26,413.19,1
COLHEITADEIRA-II,8.68,38.59,29.22,17.36,405.62,1
COLHEITADEIRA-I,114.61,79.25,24.86,11.8,679.55,0
COLHEITADEIRA-II,62.71,72.18,3.94,22.04,67.09,0
PULVERIZADOR-I,35.95,32.77,25.76,13.7,593.71,0
PULVERIZADOR-I,9.22,42.23,9.63,23.49,772.03,0
COLHEITADEIRA-I,60.07,75.8,22.37,23.66,828.21,1
PULVERIZADOR-I,95.34,76.03,11.93,24.15,170.53,0
TRATOR-II,84.85,67.22,34.92,17.8,897.42,1
COLHEITADEIRA-I,6.03,36.58,9.22,20.16,656.15,0
TRATOR-II,8.75,22.84,9.77,21.68,881.85,0
TRATOR-I,48.34,64.97,32.57,11.97,485.28,1
TRATOR-II,35.43,34.35,0.86,19.01,542.03,0
TRATOR-I,27.89,30.51,24.38,10.51,919.04,0
TRATOR-I,33.72,59.61,25.39,17.46,899.91,0
TRATOR-II,96.42,88.07,29.27,12.32,448.16,1
COLHEITADEIRA-I,111.51,100.0,34.11,12.74,274.41,1
PULVERIZADOR-I,48.61,48.9,34.15,15.48,393.17,1
PULVERIZADOR-I,108.73,95.53,2.28,16.49,387.76,0
TRATOR-I,38.58,50.97,28.76,19.35,286.87,1
TRATOR-I,57.17,62.4,22.62,11.12,268.58,0
COLHEITADEIRA-I,27.12,46.75,22.66,17.56,861.06,0
COLHEITADEIRA-II,76.86,73.38,4.49,12.74,69.86,0
TRATOR-II,117.48,93.36,22.76,18.61,677.61,1
TRATOR-I,72.42,61.73,34.39,19.56,172.82,1
PULVERIZADOR-I,42.94,58.82,31.91,18.35,344.51,1
COLHEITADEIRA-I,77.74,63.43,15.37,21.07,61.54,0
TRATOR-II,14.75,39.62,1.4,15.03,269.97,0
COLHEITADEIRA-I,106.64,80.98,12.68,21.48,768.42,0
TRATOR-II,60.37,64.98,28.92,16.49,885.02,1
TRATOR-II,53.92,64.77,24.55,17.26,221.53,1
TRATOR-I,70.3,58.74,16.08,19.72,463.55,0
COLHEITADEIRA-I,74.97,56.78,1.93,10.28,470.32,0
COLHEITADEIRA-I,8.61,19.1,14.94,19.81,873.58,0
PULVERIZADOR-I,81.91,77.33,16.42,19.28,762.8,0
PULVERIZADOR-I,29.03,52.9,32.5,14.65,513.08,1
TRATOR-I,85.67,62.75,22.44,11.29,670.75,0
TRATOR-I,98.7,91.25,10.91,11.36,847.36,0
COLHEITADEIRA-II,96.48,78.12,18.39,23.85,9.54,1
PULVERIZADOR-I,66.3,64.14,2.31,20.34,402.89,0
TRATOR-II,62.42,75.32,34.04,11.91,907.24,1
COLHEITADEIRA-I,17.15,30.25,12.6,15.35,740.31,0
TRATOR-I,93.04,79.79,16.73,18.89,542.84,0
COLHEITADEIRA-I,32.57,29.95,12.43,22.53,529.64,0
COLHEITADEIRA-I,59.6,48.21,23.89,10.65,347.77,0
COLHEITADEIRA-II,34.11,38.23,23.18,13.55,520.52,0
PULVERIZADOR-I,16.06,20.47,25.04,23.35,655.38,0
TRATOR-I,75.55,74.27,9.39,10.14,418.36,0
COLHEITADEIRA-I,6.52,26.7,11.05,13.02,714.15,0
TRATOR-I,89.84,80.35,4.38,24.39,861.23,0
TRATOR-II,38.11,38.11,22.94,19.2,154.68,1
COLHEITADEIRA-II,0.02,18.89,1.39,13.93,451.55,0
TRATOR-II,61.34,66.72,20.92,11.0,408.02,0
TRATOR-I,5.62,42.33,30.44,10.42,687.46,0
TRATOR-I,33.14,31.4,31.18,13.67,249.87,0
PULVERIZADOR-I,84.84,87.61,15.72,23.22,640.25,0
COLHEITADEIRA-I,7.52,31.82,16.08,16.24,877.49,0
COLHEITADEIRA-I,100.72,87.35,2.69,20.81,418.13,0
TRATOR-II,0.46,25.28,23.48,23.77,911.02,0
COLHEITADEIRA-II,29.62,29.85,28.74,16.12,993.16,0
COLHEITADEIRA-I,88.91,66.04,8.56,12.87,106.09,0
PULVERIZADOR-I,37.95,50.8,14.75,17.76,233.05,0
TRATOR-II,12.23,27.57,29.36,23.62,950.38,0
TRATOR-II,43.23,63.45,30.7,22.07,958.33,1
PULVERIZADOR-I,32.45,41.67,8.51,10.99,97.71,0
COLHEITADEIRA-II,101.13,74.97,19.27,20.39,15.0,1
PULVERIZADOR-I,37.6,54.0,6.74,18.58,161.1,0
COLHEITADEIRA-II,94.67,75.6,3.57,23.61,996.01,0
PULVERIZADOR-I,107.02,89.98,31.89,11.84,180.0,1
PULVERIZADOR-I,52.06,62.17,28.72,18.01,502.55,0
TRATOR-I,109.19,100.0,26.6,23.19,848.42,1
TRATOR-II,45.28,60.93,1.71,16.15,20.4,1
PULVERIZADOR-I,115.69,99.7,29.53,17.23,604.49,1
PULVERIZADOR-I,10.71,36.82,15.33,11.06,277.03,0
COLHEITADEIRA-I,82.44,87.84,11.98,14.17,862.33,0
TRATOR-II,59.26,54.43,19.13,14.87,283.46,0
COLHEITADEIRA-I,46.52,37.94,3.2,24.18,686.76,0
TRATOR-II,75.93,63.71,26.48,14.24,674.22,1
COLHEITADEIRA-I,84.46,67.21,20.39,16.91,221.49,0
PULVERIZADOR-I,0.52,30.17,6.53,20.07,34.8,0
PULVERIZADOR-I,20.03,41.03,6.59,12.43,409.25,0
TRATOR-I,85.57,79.14,6.45,17.3,289.19,0
COLHEITADEIRA-I,79.97,58.47,2.0,21.08,808.98,0
COLHEITADEIRA-II,115.93,100.0,20.57,23.0,800.36,1
TRATOR-I,91.32,74.5,29.41,19.39,457.02,0
COLHEITADEIRA-I,114.09,98.41,0.61,20.04,606.51,0
COLHEITADEIRA-I,84.3,77.28,1.72,11.89,604.26,0
TRATOR-I,35.77,41.74,20.05,24.19,827.16,0
PULVERIZADOR-I,12.64,21.62,28.68,11.99,425.0,1
COLHEITADEIRA-I,93.82,69.12,11.44,21.62,275.45,0
PULVERIZADOR-I,77.3,81.32,12.24,13.97,265.03,0
TRATOR-I,5.78,41.02,20.87,24.0,536.19,1
PULVERIZADOR-I,43.21,55.42,9.6,20.8,449.15,0
TRATOR-II,114.82,81.99,0.93,21.31,440.12,0
COLHEITADEIRA-II,60.05,58.09,25.73,13.29,91.14,1
COLHEITADEIRA-I,51.93,63.02,21.9,16.65,718.6,1
COLHEITADEIRA-II,54.92,66.35,20.33,19.27,213.74,0
PULVERIZADOR-I,25.07,28.59,25.96,21.55,196.95,0
COLHEITADEIRA-I,44.24,36.55,23.63,11.56,412.76,0
PULVERIZADOR-I,44.38,57.99,7.21,24.44,227.78,0
TRATOR-II,6.28,24.47,12.34,23.35,583.86,0
TRATOR-I,92.11,72.9,4.41,14.06,371.46,0
COLHEITADEIRA-I,49.98,40.38,4.54,22.34,448.91,0
TRATOR-II,98.66,85.41,23.67,17.77,537.17,0
TRATOR-II,102.04,96.76,30.05,16.93,203.54,1
COLHEITADEIRA-I,25.44,53.99,33.7,14.72,155.75,1
PULVERIZADOR-I,78.88,74.3,21.99,18.71,880.42,1
TRATOR-II,56.67,59.44,6.44,20.95,433.72,0
COLHEITADEIRA-II,105.62,75.92,3.7,16.16,412.09,0
TRATOR-II,25.89,42.0,28.45,19.44,35.61,1
PULVERIZADOR-I,81.34,70.2,20.26,20.49,497.98,1
PULVERIZADOR-I,72.93,71.97,21.64,20.67,554.17,0
COLHEITADEIRA-II,35.44,42.92,27.35,10.78,558.84,0
TRATOR-II,16.39,27.04,24.61,22.9,707.03,0
PULVERIZADOR-I,78.2,59.77,29.21,16.87,177.48,1
COLHEITADEIRA-I,88.63,72.63,1.97,13.94,252.22,0
TRATOR-I,37.88,35.62,26.16,13.63,810.73,0
TRATOR-I,77.38,61.73,29.78,17.25,947.17,1
TRATOR-I,47.42,68.07,10.01,23.3,135.93,1
TRATOR-II,85.58,74.67,22.42,15.68,497.65,1
COLHEITADEIRA-II,23.91,40.3,11.0,21.25,214.18,0
PULVERIZADOR-I,106.83,100.0,33.53,11.45,60.07,1
COLHEITADEIRA-I,34.49,60.56,1.17,17.14,325.5,0
COLHEITADEIRA-I,44.13,53.96,20.29,24.88,143.69,1
TRATOR-II,6.97,38.56,5.83,21.56,709.93,0
TRATOR-I,13.38,27.84,24.93,13.16,533.73,0
TRATOR-II,61.9,56.31,6.16,17.52,143.83,0
COLHEITADEIRA-II,32.11,41.35,8.24,13.5,9.24,0
COLHEITADEIRA-II,100.26,90.33,17.3,16.14,808.16,1
PULVERIZADOR-I,1.76,31.52,32.02,21.7,176.19,1
PULVERIZADOR-I,45.49,46.75,7.41,21.57,606.22,0
COLHEITADEIRA-II,40.48,38.29,5.05,13.42,336.92,0
COLHEITADEIRA-II,2.32,30.36,26.56,23.83,585.49,0
